ts,day,dir,atr,er,fz,regime,session,ext,stop_pt,targ_pt,entry,exit,pts,net,reason,held_min,mfe,far_depletion,imb_signed
1785210000,2026-07-28,1,17.616666666666667,0.1503875968992248,2.12490415729954,VIOLENT-WHIPSAW,OVERNIGHT,24.25,26.425,52.85,28056.75,28030.0,-26.75,-55.0,STOP,14.8,14.25,0.5102445472571051,0.005859938061042697
1785216120,2026-07-28,-1,10.133333333333333,0.4036363636363636,-2.4974233649674527,BUILDING,OVERNIGHT,-27.75,15.2,30.4,27931.75,27901.35,30.4,59.3,TARGET,8.2,92.5,0.5764043025439645,-0.21964209628113418
1785216900,2026-07-28,-1,11.183333333333334,0.8321678321678322,-2.3295414641024133,BUILDING,OVERNIGHT,-59.5,16.775,33.55,27883.25,27900.5,-17.25,-36.0,STOP,1.3,44.0,0.46303337558090407,0.128971202960026
1785218640,2026-07-28,-1,13.266666666666667,0.4613466334164589,-2.921679542118252,CLEAN-TREND,OVERNIGHT,-46.25,19.9,39.8,27862.5,27882.75,-20.25,-42.0,STOP,17.8,23.25,0.5545306565382528,-0.15028217328284146
1785219960,2026-07-28,1,15.383333333333333,0.3319327731092437,2.182203097063795,BUILDING,OVERNIGHT,39.5,23.075,46.15,27885.0,27931.15,46.15,90.8,TARGET,13.7,103.25,0.5079206269801567,-0.07455414206994132
1785235200,2026-07-28,-1,16.25,0.2129277566539923,-3.024027596441117,BUILDING,PRE-OPEN,-28.0,24.375,48.75,27911.25,27936.5,-25.25,-52.0,STOP,5.6,55.25,0.4475971370143149,0.08277224964654978
1785241620,2026-07-28,1,16.55,0.4632034632034632,2.6830335165310766,CLEAN-TREND,PRE-OPEN,53.5,24.825000000000003,49.650000000000006,28011.5,27986.25,-25.25,-52.0,STOP,6.1,22.5,0.4832919083126208,0.12400462932757089
1785245280,2026-07-28,-1,17.283333333333335,0.4046345811051693,-2.0145213207353256,CLEAN-TREND,PRE-OPEN,-56.75,25.925000000000004,51.85000000000001,27948.75,27975.0,-26.25,-54.0,STOP,1.0,345.5,0.47492283950617287,0.09117513871417106
1785246120,2026-07-28,-1,45.03333333333333,0.5773638968481375,-7.124337135330159,CLEAN-TREND,US,-201.5,67.55,135.1,27761.5,27626.4,135.1,268.7,TARGET,31.1,158.25,0.5236121391561807,-0.08974875667617163
1785249360,2026-07-28,1,44.333333333333336,0.2241112828438949,2.2110031365440617,BUILDING,US,72.5,66.5,133.0,27745.75,27878.75,133.0,264.5,TARGET,14.5,266.75,0.48545422095306084,0.055119901977317226
